combo_id,vectorizer,classifier,n_train,n_test,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec
bow_unigram__logreg,bow_unigram,logreg,8032,2007,29594,0.5421026407573493,0.5196414297133721,0.6387959866220736,0.6107114308553158,0.6244380874540253,0.5209821560740826,1.4389121249550954,0.34621441701892763
bow_unigram__linear_svc,bow_unigram,linear_svc,8032,2007,29594,0.5475834578973593,0.5242996079327015,0.6423236514522822,0.6187050359712231,0.6302931596091205,0.5185005434805594,1.7448543339851312,0.3445148330065422
bow_unigram__random_forest,bow_unigram,random_forest,8032,2007,29594,0.6203288490284006,0.5010039587377717,0.6237974683544304,0.9848121502797762,0.7637941723496591,0.5087443272894911,2.579344250028953,0.45273570803692564
tfidf_unigram__logreg,tfidf_unigram,logreg,8032,2007,29594,0.5371200797209765,0.518784972022382,0.6385542168674698,0.5931254996003198,0.6150020721094074,0.5261441640338522,0.811629708041437,0.35031362500740215
tfidf_unigram__linear_svc,tfidf_unigram,linear_svc,8032,2007,29594,0.5366218236173393,0.5131513836549808,0.6336386344712739,0.6083133493205436,0.6207177814029364,0.5215510131577279,0.8433166249888018,0.35016341699520126
tfidf_unigram__random_forest,tfidf_unigram,random_forest,8032,2007,29594,0.6258096661684106,0.5090641772296449,0.6276813074565883,0.982414068745004,0.7659707073854783,0.507473915047856,2.570747666992247,0.5024181659682654
tfidf_bigram__logreg,tfidf_bigram,logreg,8032,2007,202559,0.5391131041355257,0.512009440066994,0.6325203252032521,0.6219024780175859,0.6271664651350262,0.5278697676779212,2.2053815420367755,0.6781700829742476
tfidf_bigram__linear_svc,tfidf_bigram,linear_svc,8032,2007,202559,0.547085201793722,0.5061046400974458,0.6276119402985074,0.6722621902478018,0.6491702045542261,0.5238158679405682,2.051341499958653,0.7495982910040766
tfidf_bigram__random_forest,tfidf_bigram,random_forest,8032,2007,202559,0.6238166417538615,0.5056335883674014,0.6260162601626016,0.9848121502797762,0.7654551102826965,0.5121416094637516,6.973680833994877,0.8888864999753423
