combo_id,oyez_identifier,n_test_rows,model_accuracy,petitioner_rate_full,per_justice_baseline,lift_over_baseline
minilm__logreg,amy_coney_barrett,55.0,0.6,0.640625,0.640625,-0.04062500000000002
minilm__logreg,anthony_m_kennedy,167.0,0.562874251497006,0.6706730769230769,0.6706730769230769,-0.10779882542607089
minilm__logreg,antonin_scalia,138.0,0.5289855072463768,0.6355810616929699,0.6355810616929699,-0.10659555444659308
minilm__logreg,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,0.6729222520107239,-0.031896610985082785
minilm__logreg,clarence_thomas,58.0,0.603448275862069,0.6048109965635738,0.6048109965635738,-0.0013627207015048937
minilm__logreg,david_h_souter,62.0,0.4838709677419355,0.5940959409594095,0.5940959409594095,-0.11022497321747404
minilm__logreg,elena_kagan,170.0,0.5705882352941176,0.6119909502262444,0.6119909502262444,-0.04140271493212677
minilm__logreg,john_g_roberts_jr,255.0,0.5686274509803921,0.6627634660421545,0.6627634660421545,-0.09413601506176239
minilm__logreg,john_paul_stevens,74.0,0.4864864864864865,0.5542168674698795,0.5542168674698795,-0.06773038098339301
minilm__logreg,ketanji_brown_jackson,36.0,0.5833333333333334,0.6257309941520468,0.6257309941520468,-0.042397660818713434
minilm__logreg,neil_gorsuch,87.0,0.6091954022988506,0.6566820276497696,0.6566820276497696,-0.047486625350918965
minilm__logreg,ruth_bader_ginsburg,191.0,0.4607329842931937,0.5824847250509165,0.5824847250509165,-0.12175174075772283
minilm__logreg,samuel_a_alito_jr,231.0,0.5584415584415584,0.6038227628149435,0.6038227628149435,-0.04538120437338511
minilm__logreg,sandra_day_oconnor,3.0,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444
minilm__logreg,sonia_sotomayor,188.0,0.526595744680851,0.6004036326942482,0.6004036326942482,-0.07380788801339722
minilm__logreg,stephen_g_breyer,214.0,0.48598130841121495,0.6241860465116279,0.6241860465116279,-0.13820473810041295
minilm__svm_rbf,amy_coney_barrett,55.0,0.5454545454545454,0.640625,0.640625,-0.09517045454545459
minilm__svm_rbf,anthony_m_kennedy,167.0,0.5688622754491018,0.6706730769230769,0.6706730769230769,-0.10181080147397503
minilm__svm_rbf,antonin_scalia,138.0,0.5362318840579711,0.6355810616929699,0.6355810616929699,-0.09934917763499884
minilm__svm_rbf,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,0.6729222520107239,-0.031896610985082785
minilm__svm_rbf,clarence_thomas,58.0,0.603448275862069,0.6048109965635738,0.6048109965635738,-0.0013627207015048937
minilm__svm_rbf,david_h_souter,62.0,0.5483870967741935,0.5940959409594095,0.5940959409594095,-0.045708844185216035
minilm__svm_rbf,elena_kagan,170.0,0.5588235294117647,0.6119909502262444,0.6119909502262444,-0.05316742081447967
minilm__svm_rbf,john_g_roberts_jr,255.0,0.5607843137254902,0.6627634660421545,0.6627634660421545,-0.10197915231666432
minilm__svm_rbf,john_paul_stevens,74.0,0.5,0.5542168674698795,0.5542168674698795,-0.054216867469879526
minilm__svm_rbf,ketanji_brown_jackson,36.0,0.6111111111111112,0.6257309941520468,0.6257309941520468,-0.014619883040935644
minilm__svm_rbf,neil_gorsuch,87.0,0.6206896551724138,0.6566820276497696,0.6566820276497696,-0.03599237247735576
minilm__svm_rbf,ruth_bader_ginsburg,191.0,0.4607329842931937,0.5824847250509165,0.5824847250509165,-0.12175174075772283
minilm__svm_rbf,samuel_a_alito_jr,231.0,0.5887445887445888,0.6038227628149435,0.6038227628149435,-0.015078174070354722
minilm__svm_rbf,sandra_day_oconnor,3.0,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444
minilm__svm_rbf,sonia_sotomayor,188.0,0.5372340425531915,0.6004036326942482,0.6004036326942482,-0.06316959014105672
minilm__svm_rbf,stephen_g_breyer,214.0,0.5280373831775701,0.6241860465116279,0.6241860465116279,-0.0961486633340578
minilm__random_forest,amy_coney_barrett,55.0,0.6181818181818182,0.640625,0.640625,-0.022443181818181834
minilm__random_forest,anthony_m_kennedy,167.0,0.688622754491018,0.6706730769230769,0.6706730769230769,0.01794967756794108
minilm__random_forest,antonin_scalia,138.0,0.7101449275362319,0.6355810616929699,0.6355810616929699,0.07456386584326202
minilm__random_forest,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,0.6729222520107239,-0.031896610985082785
minilm__random_forest,clarence_thomas,58.0,0.603448275862069,0.6048109965635738,0.6048109965635738,-0.0013627207015048937
minilm__random_forest,david_h_souter,62.0,0.5645161290322581,0.5940959409594095,0.5940959409594095,-0.029579811927151423
minilm__random_forest,elena_kagan,170.0,0.5882352941176471,0.6119909502262444,0.6119909502262444,-0.02375565610859731
minilm__random_forest,john_g_roberts_jr,255.0,0.6666666666666666,0.6627634660421545,0.6627634660421545,0.0039032006245121043
minilm__random_forest,john_paul_stevens,74.0,0.5405405405405406,0.5542168674698795,0.5542168674698795,-0.013676326929338956
minilm__random_forest,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,0.6257309941520468,-0.1535087719298246
minilm__random_forest,neil_gorsuch,87.0,0.6666666666666666,0.6566820276497696,0.6566820276497696,0.009984639016897057
minilm__random_forest,ruth_bader_ginsburg,191.0,0.581151832460733,0.5824847250509165,0.5824847250509165,-0.0013328925901835431
minilm__random_forest,samuel_a_alito_jr,231.0,0.6060606060606061,0.6038227628149435,0.6038227628149435,0.002237843245662563
minilm__random_forest,sandra_day_oconnor,3.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,-0.22222222222222227
minilm__random_forest,sonia_sotomayor,188.0,0.5904255319148937,0.6004036326942482,0.6004036326942482,-0.00997810077935457
minilm__random_forest,stephen_g_breyer,214.0,0.6355140186915887,0.6241860465116279,0.6241860465116279,0.011327972179960843
mpnet__logreg,amy_coney_barrett,55.0,0.6363636363636364,0.640625,0.640625,-0.0042613636363636465
mpnet__logreg,anthony_m_kennedy,167.0,0.5748502994011976,0.6706730769230769,0.6706730769230769,-0.09582277752187929
mpnet__logreg,antonin_scalia,138.0,0.5507246376811594,0.6355810616929699,0.6355810616929699,-0.08485642401181048
mpnet__logreg,brett_m_kavanaugh,78.0,0.5897435897435898,0.6729222520107239,0.6729222520107239,-0.0831786622671341
mpnet__logreg,clarence_thomas,58.0,0.5344827586206896,0.6048109965635738,0.6048109965635738,-0.07032823794288423
mpnet__logreg,david_h_souter,62.0,0.5806451612903226,0.5940959409594095,0.5940959409594095,-0.01345077966908692
mpnet__logreg,elena_kagan,170.0,0.5470588235294118,0.6119909502262444,0.6119909502262444,-0.06493212669683257
mpnet__logreg,john_g_roberts_jr,255.0,0.5686274509803921,0.6627634660421545,0.6627634660421545,-0.09413601506176239
mpnet__logreg,john_paul_stevens,74.0,0.5675675675675675,0.5542168674698795,0.5542168674698795,0.013350700097688017
mpnet__logreg,ketanji_brown_jackson,36.0,0.5833333333333334,0.6257309941520468,0.6257309941520468,-0.042397660818713434
mpnet__logreg,neil_gorsuch,87.0,0.5977011494252874,0.6566820276497696,0.6566820276497696,-0.05898087822448217
mpnet__logreg,ruth_bader_ginsburg,191.0,0.5287958115183246,0.5824847250509165,0.5824847250509165,-0.053688913532591975
mpnet__logreg,samuel_a_alito_jr,231.0,0.5064935064935064,0.6038227628149435,0.6038227628149435,-0.09732925632143707
mpnet__logreg,sandra_day_oconnor,3.0,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.11111111111111105
mpnet__logreg,sonia_sotomayor,188.0,0.5319148936170213,0.6004036326942482,0.6004036326942482,-0.06848873907722697
mpnet__logreg,stephen_g_breyer,214.0,0.48130841121495327,0.6241860465116279,0.6241860465116279,-0.14287763529667463
mpnet__svm_rbf,amy_coney_barrett,55.0,0.6727272727272727,0.640625,0.640625,0.03210227272727273
mpnet__svm_rbf,anthony_m_kennedy,167.0,0.5868263473053892,0.6706730769230769,0.6706730769230769,-0.08384672961768769
mpnet__svm_rbf,antonin_scalia,138.0,0.5144927536231884,0.6355810616929699,0.6355810616929699,-0.12108830806978155
mpnet__svm_rbf,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,0.6729222520107239,-0.031896610985082785
mpnet__svm_rbf,clarence_thomas,58.0,0.6379310344827587,0.6048109965635738,0.6048109965635738,0.03312003791918483
mpnet__svm_rbf,david_h_souter,62.0,0.5967741935483871,0.5940959409594095,0.5940959409594095,0.002678252588977581
mpnet__svm_rbf,elena_kagan,170.0,0.5823529411764706,0.6119909502262444,0.6119909502262444,-0.02963800904977376
mpnet__svm_rbf,john_g_roberts_jr,255.0,0.5764705882352941,0.6627634660421545,0.6627634660421545,-0.08629287780686046
mpnet__svm_rbf,john_paul_stevens,74.0,0.5,0.5542168674698795,0.5542168674698795,-0.054216867469879526
mpnet__svm_rbf,ketanji_brown_jackson,36.0,0.5833333333333334,0.6257309941520468,0.6257309941520468,-0.042397660818713434
mpnet__svm_rbf,neil_gorsuch,87.0,0.6206896551724138,0.6566820276497696,0.6566820276497696,-0.03599237247735576
mpnet__svm_rbf,ruth_bader_ginsburg,191.0,0.49214659685863876,0.5824847250509165,0.5824847250509165,-0.09033812819227777
mpnet__svm_rbf,samuel_a_alito_jr,231.0,0.5367965367965368,0.6038227628149435,0.6038227628149435,-0.06702622601840669
mpnet__svm_rbf,sandra_day_oconnor,3.0,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.11111111111111105
mpnet__svm_rbf,sonia_sotomayor,188.0,0.5797872340425532,0.6004036326942482,0.6004036326942482,-0.020616398651695067
mpnet__svm_rbf,stephen_g_breyer,214.0,0.4953271028037383,0.6241860465116279,0.6241860465116279,-0.12885894370788958
mpnet__random_forest,amy_coney_barrett,55.0,0.6181818181818182,0.640625,0.640625,-0.022443181818181834
mpnet__random_forest,anthony_m_kennedy,167.0,0.6766467065868264,0.6706730769230769,0.6706730769230769,0.00597362966374948
mpnet__random_forest,antonin_scalia,138.0,0.7028985507246377,0.6355810616929699,0.6355810616929699,0.06731748903166779
mpnet__random_forest,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,0.6729222520107239,-0.031896610985082785
mpnet__random_forest,clarence_thomas,58.0,0.603448275862069,0.6048109965635738,0.6048109965635738,-0.0013627207015048937
mpnet__random_forest,david_h_souter,62.0,0.5483870967741935,0.5940959409594095,0.5940959409594095,-0.045708844185216035
mpnet__random_forest,elena_kagan,170.0,0.5882352941176471,0.6119909502262444,0.6119909502262444,-0.02375565610859731
mpnet__random_forest,john_g_roberts_jr,255.0,0.6627450980392157,0.6627634660421545,0.6627634660421545,-1.8368002938862205e-05
mpnet__random_forest,john_paul_stevens,74.0,0.5405405405405406,0.5542168674698795,0.5542168674698795,-0.013676326929338956
mpnet__random_forest,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,0.6257309941520468,-0.1535087719298246
mpnet__random_forest,neil_gorsuch,87.0,0.6666666666666666,0.6566820276497696,0.6566820276497696,0.009984639016897057
mpnet__random_forest,ruth_bader_ginsburg,191.0,0.581151832460733,0.5824847250509165,0.5824847250509165,-0.0013328925901835431
mpnet__random_forest,samuel_a_alito_jr,231.0,0.6103896103896104,0.6038227628149435,0.6038227628149435,0.006566847574666856
mpnet__random_forest,sandra_day_oconnor,3.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,-0.22222222222222227
mpnet__random_forest,sonia_sotomayor,188.0,0.5851063829787234,0.6004036326942482,0.6004036326942482,-0.015297249715524819
mpnet__random_forest,stephen_g_breyer,214.0,0.6355140186915887,0.6241860465116279,0.6241860465116279,0.011327972179960843
