track,oyez_identifier,n,point_auc,ci_lo_95,ci_hi_95,slice
bow,amy_coney_barrett,55,0.5042016806722689,0.3492961711711712,0.6640873015873014,global
bow,anthony_m_kennedy,167,0.6205685618729098,0.5282262705488681,0.7048284225655765,global
bow,antonin_scalia,138,0.5584183673469388,0.44886925060438637,0.6719710178021348,global
bow,brett_m_kavanaugh,78,0.64,0.49784126984126986,0.7813961794019934,global
bow,clarence_thomas,58,0.537888198757764,0.38580823863636365,0.675393675482855,global
bow,david_h_souter,62,0.5756613756613755,0.4172625921375922,0.7195894383394384,global
bow,elena_kagan,170,0.45771428571428574,0.36528214285714283,0.5493267530294378,global
bow,john_g_roberts_jr,255,0.48899653979238755,0.4165067878740753,0.5573363350777095,global
bow,john_paul_stevens,74,0.5625,0.42117054693274203,0.6918144863266815,global
bow,ketanji_brown_jackson,36,0.40557275541795673,0.22283281733746133,0.5976314356151816,global
bow,neil_gorsuch,87,0.4482758620689655,0.3165102905569008,0.5748925830243035,global
bow,ruth_bader_ginsburg,191,0.4834459459459459,0.3998501192280398,0.5660157882124511,global
bow,samuel_a_alito_jr,231,0.5977147360126083,0.5174507794660537,0.6694967558157937,global
bow,sandra_day_oconnor,3,1.0,,,global
bow,sonia_sotomayor,188,0.5271561771561771,0.44213407652887937,0.6075534214950956,global
bow,stephen_g_breyer,214,0.4622926093514329,0.37650263034839215,0.5472351941441062,global
bow,amy_coney_barrett,18,0.3538461538461538,,,unanimous
bow,anthony_m_kennedy,74,0.5992063492063493,0.44040178571428573,0.7407638888888888,unanimous
bow,antonin_scalia,62,0.5327380952380952,0.3318921568627451,0.728860294117647,unanimous
bow,brett_m_kavanaugh,26,0.58125,,,unanimous
bow,clarence_thomas,21,0.6111111111111112,,,unanimous
bow,david_h_souter,25,0.6754385964912281,,,unanimous
bow,elena_kagan,73,0.5104347826086957,0.3778359903137927,0.6549734965756638,unanimous
bow,john_g_roberts_jr,107,0.4690152801358234,0.35121219119121083,0.5935555555555555,unanimous
bow,john_paul_stevens,28,0.6136363636363636,,,unanimous
bow,ketanji_brown_jackson,17,0.38571428571428573,,,unanimous
bow,neil_gorsuch,36,0.49350649350649356,0.28792569659442724,0.715625,unanimous
bow,ruth_bader_ginsburg,82,0.5797413793103449,0.4488567362428842,0.7213821368004522,unanimous
bow,samuel_a_alito_jr,93,0.6007543103448276,0.4827904040404041,0.7274096274085903,unanimous
bow,sandra_day_oconnor,2,1.0,,,unanimous
bow,sonia_sotomayor,79,0.6640058055152395,0.5420626014404545,0.7823299319727891,unanimous
bow,stephen_g_breyer,88,0.3839464882943144,0.2543496271748136,0.5238513380558834,unanimous
bow,amy_coney_barrett,37,0.5327380952380952,0.3333333333333333,0.7059436274509803,contested
bow,anthony_m_kennedy,93,0.6530408773678963,0.5296187025534852,0.7632378537787312,contested
bow,antonin_scalia,76,0.5769230769230769,0.44607787940068017,0.7059391663248563,contested
bow,brett_m_kavanaugh,52,0.6715686274509804,0.49370010307346324,0.8464193404634581,contested
bow,clarence_thomas,37,0.4941176470588235,0.31033474490824764,0.7053702731092436,contested
bow,david_h_souter,37,0.6130952380952381,0.4333088235294118,0.8100146198830409,contested
bow,elena_kagan,97,0.43319148936170215,0.3231500366837857,0.5442283163265306,contested
bow,john_g_roberts_jr,148,0.5057131599684791,0.4020549521354934,0.5984292360718991,contested
bow,john_paul_stevens,46,0.7222222222222222,0.5635930735930735,0.8602498559907834,contested
bow,ketanji_brown_jackson,19,0.4047619047619047,,,contested
bow,neil_gorsuch,51,0.42592592592592593,0.25922241445597843,0.6136363636363636,contested
bow,ruth_bader_ginsburg,109,0.4265498652291105,0.31949997331055835,0.5311224159509731,contested
bow,samuel_a_alito_jr,138,0.5922929529486907,0.49389199046211235,0.6858162139412138,contested
bow,sandra_day_oconnor,1,,,,contested
bow,sonia_sotomayor,109,0.4264507422402159,0.32191696592226837,0.5418437921727396,contested
bow,stephen_g_breyer,126,0.5049935979513445,0.40474001503366136,0.6079600746299615,contested
embeddings,amy_coney_barrett,55,0.6218487394957983,0.44014945652173915,0.7813906432748537,global
embeddings,anthony_m_kennedy,167,0.5192307692307692,0.4190745005661134,0.616038439330569,global
embeddings,antonin_scalia,138,0.5938775510204082,0.4865260503447405,0.6948540666266506,global
embeddings,brett_m_kavanaugh,78,0.6821428571428572,0.5599945652173912,0.8068842148189974,global
embeddings,clarence_thomas,58,0.7304347826086957,0.5878518325290205,0.854570707070707,global
embeddings,david_h_souter,62,0.5671957671957673,0.41512000462000465,0.7105677464298155,global
embeddings,elena_kagan,170,0.5272857142857142,0.43730640890175976,0.6108727149879836,global
embeddings,john_g_roberts_jr,255,0.5747404844290657,0.5053278235707895,0.647063430635412,global
embeddings,john_paul_stevens,74,0.5676470588235294,0.43806588010639025,0.703703068624299,global
embeddings,ketanji_brown_jackson,36,0.6346749226006192,0.4155663222226689,0.8179224537037036,global
embeddings,neil_gorsuch,87,0.5368608799048752,0.4038310117302053,0.6634374159268226,global
embeddings,ruth_bader_ginsburg,191,0.5155405405405404,0.4313489751161446,0.5959471828808214,global
embeddings,samuel_a_alito_jr,231,0.6003940110323089,0.5259155541916014,0.6779509375727929,global
embeddings,sandra_day_oconnor,3,1.0,,,global
embeddings,sonia_sotomayor,188,0.5641025641025641,0.48327897523121965,0.6423778430404936,global
embeddings,stephen_g_breyer,214,0.5049019607843137,0.42741007062933656,0.5758199697268882,global
embeddings,amy_coney_barrett,18,0.4461538461538461,,,unanimous
embeddings,anthony_m_kennedy,74,0.5109126984126984,0.3652507083822639,0.6599462365591398,unanimous
embeddings,antonin_scalia,62,0.6086309523809524,0.41153257456828884,0.8021509209744505,unanimous
embeddings,brett_m_kavanaugh,26,0.6625,,,unanimous
embeddings,clarence_thomas,21,0.7444444444444445,,,unanimous
embeddings,david_h_souter,25,0.6491228070175439,,,unanimous
embeddings,elena_kagan,73,0.46695652173913044,0.320779532967033,0.6202020202020202,unanimous
embeddings,john_g_roberts_jr,107,0.5772495755517827,0.46744777551942185,0.6799014127764126,unanimous
embeddings,john_paul_stevens,28,0.5984848484848485,,,unanimous
embeddings,ketanji_brown_jackson,17,0.6000000000000001,,,unanimous
embeddings,neil_gorsuch,36,0.5844155844155844,0.36534090909090905,0.7901860119047619,unanimous
embeddings,ruth_bader_ginsburg,82,0.6666666666666666,0.5265512504736644,0.8040378491258189,unanimous
embeddings,samuel_a_alito_jr,93,0.5581896551724137,0.436756148440931,0.6924052287581698,unanimous
embeddings,sandra_day_oconnor,2,1.0,,,unanimous
embeddings,sonia_sotomayor,79,0.6219158200290276,0.47360778841042,0.7588529411764705,unanimous
embeddings,stephen_g_breyer,88,0.5505016722408027,0.3938659790447324,0.7032254464285713,unanimous
embeddings,amy_coney_barrett,37,0.7410714285714286,0.5743875915750916,0.900014619883041,contested
embeddings,anthony_m_kennedy,93,0.524925224327019,0.3945614692653674,0.6491417759270453,contested
embeddings,antonin_scalia,76,0.5753846153846154,0.43064815855531824,0.7092347756410255,contested
embeddings,brett_m_kavanaugh,52,0.6944444444444444,0.5327312934743276,0.8540832118502959,contested
embeddings,clarence_thomas,37,0.7764705882352941,0.6070400432900434,0.9199013157894737,contested
embeddings,david_h_souter,37,0.511904761904762,0.3260230179028133,0.6879318181818181,contested
embeddings,elena_kagan,97,0.5561702127659575,0.43845626072041166,0.6713651493205978,contested
embeddings,john_g_roberts_jr,148,0.5713159968479118,0.4762537661485099,0.6644610647289217,contested
embeddings,john_paul_stevens,46,0.5317460317460317,0.35039494527649767,0.6895851293103449,contested
embeddings,ketanji_brown_jackson,19,0.6428571428571428,,,contested
embeddings,neil_gorsuch,51,0.5037037037037038,0.3269063706563707,0.6814850427350427,contested
embeddings,ruth_bader_ginsburg,109,0.4241913746630728,0.32120244022373834,0.5289767188290028,contested
embeddings,samuel_a_alito_jr,138,0.62082180114967,0.5204052770549863,0.7202228692664222,contested
embeddings,sandra_day_oconnor,1,,,,contested
embeddings,sonia_sotomayor,109,0.5074224021592443,0.39682509265498656,0.6183680122701106,contested
embeddings,stephen_g_breyer,126,0.45121638924455826,0.34972368421052635,0.5511053314838525,contested
