rep,fold,random_state,n_train,n_test,auc_bow,auc_emb,diff_emb_bow
0,0,42,8032,2007,0.532296913791718,0.5691066194663317,0.036809705674613724
0,1,42,8032,2007,0.5484268878403826,0.5683018428792079,0.019874955038825304
0,2,42,8034,2005,0.5633808634208954,0.581367739694401,0.017986876273505592
0,3,42,8026,2013,0.508745732890522,0.5198023344403615,0.011056601549839451
0,4,42,8032,2007,0.5500898639022315,0.5339863372997644,-0.016103526602467055
1,0,43,8028,2011,0.5386145278746711,0.5435988174445914,0.004984289569920253
1,1,43,8031,2008,0.5425899736147757,0.5706068601583113,0.028016886543535624
1,2,43,8031,2008,0.5077904551588762,0.544609504228379,0.03681904906950273
1,3,43,8036,2003,0.5359725446139404,0.553619553467708,0.017647008853767576
1,4,43,8030,2009,0.5463438155490186,0.542041056634352,-0.004302758914666582
2,0,44,8028,2011,0.5153643084533719,0.5485168728233457,0.033152564369973825
2,1,44,8029,2010,0.5385088996448155,0.5443358660483004,0.005826966403484901
2,2,44,8032,2007,0.5430171831635904,0.5551302867812211,0.012113103617630738
2,3,44,8033,2006,0.5432528149665699,0.5521294222899826,0.008876607323412777
2,4,44,8034,2005,0.5224435835946627,0.519130584126863,-0.0033129994677997265
3,0,45,8035,2004,0.5376793345543345,0.5574877475919142,0.019808413037579742
3,1,45,8033,2006,0.5438661536766638,0.5507877051889389,0.006921551512275137
3,2,45,8029,2010,0.5149880171809995,0.5445663822856806,0.029578365104681037
3,3,45,8030,2009,0.5124676531787024,0.5420862511486422,0.02961859796993982
3,4,45,8029,2010,0.5173170721416336,0.5439630220331975,0.02664594989156388
4,0,46,8028,2011,0.5458221932879515,0.5888369897964558,0.04301479650850437
4,1,46,8033,2006,0.5044424589484573,0.5291544648752688,0.024712005926811553
4,2,46,8031,2008,0.5316649313171566,0.5344323292971042,0.002767397979947517
4,3,46,8032,2007,0.5265429617248164,0.5406226858218902,0.014079724097073809
4,4,46,8032,2007,0.5337331571994716,0.54098071334214,0.0072475561426684765
5,0,47,8031,2008,0.549070560413573,0.5580265167379505,0.008955956324377401
5,1,47,8031,2008,0.5252685566210176,0.5426095055263583,0.01734094890534077
5,2,47,8031,2008,0.5296163380073254,0.5352568405363551,0.005640502529029701
5,3,47,8032,2007,0.5233999111355605,0.5630958678035672,0.03969595666800674
5,4,47,8031,2008,0.5467970823402133,0.5643784759200094,0.017581393579796156
6,0,48,8028,2011,0.5420173641308353,0.5548962174159326,0.012878853285097303
6,1,48,8032,2007,0.5304339546791359,0.562133169709921,0.0316992150307851
6,2,48,8031,2008,0.5194787366936041,0.5637656321442186,0.04428689545061448
6,3,48,8031,2008,0.5358456261264357,0.5372124120653479,0.0013667859389121517
6,4,48,8034,2005,0.5212670442003022,0.550925650778557,0.02965860657825481
7,0,49,8034,2005,0.5374649882216243,0.5501699436207002,0.012704955399075901
7,1,49,8028,2011,0.5110889537932182,0.5248890788756062,0.013800125082388037
7,2,49,8032,2007,0.5528392101133908,0.5663426930413341,0.013503482927943344
7,3,49,8032,2007,0.543938175740008,0.5609916848274549,0.01705350908744685
7,4,49,8030,2009,0.5308484893317975,0.5495725321525569,0.018724042820759346
8,0,50,8034,2005,0.5191973684767921,0.5324037007383684,0.013206332261576303
8,1,50,8028,2011,0.536587294891804,0.5600539924916692,0.023466697599865194
8,2,50,8027,2012,0.5345705692043271,0.5379511677282378,0.003380598523910705
8,3,50,8034,2005,0.5219123505976095,0.5397907836173941,0.017878433019784534
8,4,50,8033,2006,0.5332519648479682,0.5592627338330374,0.026010768985069155
9,0,51,8027,2012,0.5341545765510733,0.5651823627540189,0.03102778620294555
9,1,51,8036,2003,0.553543683138054,0.560836941755816,0.007293258617761977
9,2,51,8030,2009,0.5038985799161378,0.5392718850420366,0.03537330512589876
9,3,51,8030,2009,0.544942930617312,0.567389587740745,0.022446657123432967
9,4,51,8033,2006,0.5383195905119448,0.5394276319692206,0.0011080414572758324
